subject_name,task,block_type,stim_type,stim_category,stim_orientation,stim_cue_validity,stim_cue_validity_id,resp_confidence,resp_correct,resp_category,resp_rt
ds,B,Test,grate,-1,0.22465836747386628,1,1,1,1,-1,0.27623487706296146
ds,B,Test,grate,1,-17.52894085162616,1,1,2,1,1,4.241170371999033
ds,B,Test,grate,1,-7.723639008828265,1,1,2,1,1,1.4775220899609849
ds,B,Test,grate,-1,1.5993265748652212,1,1,2,1,-1,0.7380068940110505
ds,B,Test,grate,1,-4.548197016915496,0,2,3,0,-1,1.1104676799150184
ds,B,Test,grate,-1,2.153256436698698,1,1,2,1,-1,4.460763706010766
ds,B,Test,grate,-1,-1.5778261182748308,1,1,2,1,-1,2.438056858954951
ds,B,Test,grate,1,-21.5498711420729,-1,3,2,1,1,1.3013498620130122
ds,B,Test,grate,-1,-2.872754047988593,1,1,4,1,-1,1.3240018910728395
ds,B,Test,grate,1,19.458702873078888,1,1,2,1,1,0.648915580008179
ds,B,Test,grate,-1,1.2426621338263149,1,1,2,1,-1,0.2320037049939856
ds,B,Test,grate,-1,-0.14145313680531202,-1,3,3,1,-1,1.6903707310557365
ds,B,Test,grate,-1,0.7343951882391151,1,1,2,0,1,0.3715140779968351
ds,B,Test,grate,-1,4.461676004100145,-1,3,3,1,-1,0.9891282969620079
ds,B,Test,grate,1,-1.5810439113020722,1,1,3,0,-1,1.081002981052734
ds,B,Test,grate,-1,3.3559844416198734,1,1,2,0,1,0.4901555940741673
ds,B,Test,grate,1,3.803849543062568,1,1,1,1,1,0.8069641080219299
ds,B,Test,grate,-1,2.871329239548099,1,1,2,1,-1,2.454295381088741
ds,B,Test,grate,-1,-2.4214704631898902,-1,3,3,0,1,0.9935126099735498
ds,B,Test,grate,-1,-2.196493690712289,-1,3,2,1,-1,0.2196131410310045
ds,B,Test,grate,-1,1.59951699757704,1,1,2,0,1,1.200527552049607
ds,B,Test,grate,1,2.87506601460798,1,1,2,0,-1,0.6573768929811195
ds,B,Test,grate,1,-2.126657913272787,1,1,2,1,1,0.3950333839748055
ds,B,Test,grate,1,-3.151581211903985,1,1,1,1,1,1.0849473139969632
ds,B,Test,grate,1,-12.316155259061457,1,1,2,1,1,3.169450186076574
ds,B,Test,grate,1,4.32261602114321,1,1,4,0,-1,3.985337238991633
ds,B,Test,grate,1,4.546436730036264,1,1,3,0,-1,0.6494673260021955
ds,B,Test,grate,-1,2.875237567018122,1,1,1,1,-1,0.7150154120754451
ds,B,Test,grate,-1,-3.6935445743630693,1,1,1,0,1,1.0230658369837329
ds,B,Test,grate,-1,3.7765676799564156,0,2,2,1,-1,1.4841723770368844
ds,B,Test,grate,-1,-2.3046418717138177,1,1,2,1,-1,0.5982021549716592
