subject,stimtype,task,s,contrast_id,Chat,g,tf,resp,rt,C
1,grate,A,4.64659,1,1,2,1,6,6.77578,1
1,grate,A,15.9175,1,1,2,1,6,2.25228,1
1,grate,A,-0.881685,1,-1,1,1,4,2.06999,-1
1,grate,A,-12.9326,3,-1,1,1,4,1.91042,-1
1,grate,A,5.58348,5,1,1,1,5,2.02963,1
1,grate,A,9.96322,1,1,2,1,6,1.55261,1
1,grate,A,5.79106,3,-1,1,0,4,1.31769,1
1,grate,A,3.75605,4,-1,1,0,4,1.6202,1
1,grate,A,17.6861,5,1,1,1,5,1.62289,1
1,grate,A,-7.87573,3,-1,2,1,3,2.72949,-1
1,grate,A,-9.22741,2,-1,2,1,3,2.19208,-1
1,grate,A,-7.59188,1,-1,3,1,2,2.34811,-1
1,grate,A,-12.3094,5,1,1,0,5,3.53765,-1
1,grate,A,4.05476,6,1,1,1,5,1.94374,1
1,grate,A,10.0828,2,1,2,1,6,2.23751,1
1,grate,A,0.44999,1,1,1,0,5,3.23964,-1
1,grate,A,2.90338,5,1,1,1,5,2.7296,1
1,grate,A,6.10672,2,1,2,1,6,2.06379,1
1,grate,A,-1.27417,2,-1,1,1,4,2.94478,-1
1,grate,A,1.88088,2,-1,1,0,4,1.66248,1
1,grate,A,7.66981,3,1,1,1,5,1.92019,1
1,grate,A,-0.814796,4,-1,1,0,4,1.59079,1
1,grate,A,-6.16461,5,-1,1,1,4,1.73845,-1
1,grate,A,-1.82803,1,-1,1,1,4,2.13668,-1
1,grate,A,-5.61251,5,-1,1,1,4,2.37468,-1
1,grate,A,4.40804,1,1,2,0,6,2.49086,-1
1,grate,A,-2.02928,5,-1,1,1,4,2.05932,-1
1,grate,A,1.06111,6,-1,1,0,4,1.74075,1
1,grate,A,12.6863,2,1,2,1,6,1.86653,1
1,grate,A,-5.79915,3,-1,1,1,4,4.04769,-1
1,grate,A,5.22961,6,-1,1,0,4,1.79615,1
1,grate,A,-4.61974,1,-1,2,1,3,1.8882,-1
1,grate,A,2.10945,4,1,1,1,5,1.94406,1
1,grate,A,6.37323,4,1,1,1,5,1.75846,1
1,grate,A,0.336071,1,1,1,1,5,1.7397,1
1,grate,A,2.87669,1,1,1,0,5,2.00902,-1
1,grate,A,-10.1736,5,-1,1,1,4,1.85231,-1
1,grate,A,10.419,6,-1,1,0,4,2.42163,1
1,grate,A,5.86491,6,-1,1,1,4,2.1683,-1
1,grate,A,1.56055,6,-1,1,0,4,2.54881,1
1,grate,A,7.16563,2,1,2,1,6,1.79389,1
1,grate,A,-3.49253,6,-1,1,1,4,1.75794,-1
1,grate,A,-2.27562,6,1,1,0,5,1.46757,-1
1,grate,A,0.267262,5,1,1,1,5,1.9882,1
1,grate,A,-6.78182,1,-1,2,1,3,2.48724,-1
1,grate,A,2.00873,4,1,1,0,5,1.67152,-1
1,grate,A,7.02181,2,1,2,1,6,2.05615,1
1,grate,A,2.35566,6,1,1,1,5,1.43332,1
1,grate,A,-5.06435,1,-1,2,1,3,1.9356,-1
1,grate,A,-0.325575,1,-1,1,0,4,2.00597,1
1,grate,A,-7.86724,3,-1,2,1,3,2.36089,-1
1,grate,A,0.229202,3,-1,1,1,4,2.63815,-1
1,grate,A,1.14215,3,-1,1,0,4,1.68818,1
1,grate,A,2.38399,3,-1,1,0,4,1.56059,1
1,grate,A,4.30559,6,1,1,1,5,1.50181,1
1,grate,A,-2.72254,4,1,1,1,5,1.57317,1
1,grate,A,-1.5932,2,-1,1,1,4,1.9298,-1
1,grate,A,4.43586,2,1,1,1,5,1.6644,1
1,grate,A,-1.29295,1,-1,1,0,4,1.93639,1
1,grate,A,13.2915,4,1,2,1,6,2.15039,1
1,grate,A,-2.76601,6,1,2,1,6,2.1796,1
1,grate,A,-3.92454,4,1,1,1,5,1.71231,1
1,grate,A,16.1109,5,1,1,1,5,1.67922,1
1,grate,A,4.83317,3,1,1,1,5,1.68034,1
1,grate,A,2.15064,4,1,1,1,5,1.7129,1
1,grate,A,-4.60854,4,1,1,1,5,2.41617,1
1,grate,A,-7.04927,2,-1,2,1,3,2.6108,-1
1,grate,A,2.90786,4,1,1,0,5,1.66219,-1
1,grate,A,4.9287,4,1,1,1,5,2.67142,1
1,grate,A,-1.24727,4,-1,1,1,4,2.58406,-1
1,grate,A,4.29463,6,-1,1,0,4,2.06773,1
1,grate,A,-0.662783,6,-1,1,0,4,1.87663,1
1,grate,A,-7.61793,1,-1,2,0,3,2.68528,1
1,grate,A,-3.33939,3,-1,1,0,4,2.51732,1
1,grate,A,5.64621,6,-1,1,0,4,1.50781,1
1,grate,A,-9.73632,1,-1,2,1,3,1.49891,-1
1,grate,A,-15.1238,2,-1,2,1,3,1.84246,-1
1,grate,A,-8.87102,5,-1,1,1,4,1.54852,-1
1,grate,A,1.57139,5,-1,1,0,4,1.4418,1
1,grate,A,-7.56515,3,-1,2,1,3,3.24346,-1
